loss,params
"[10.607679908799797, 25.05930438766764, 10.67493241466987, 10.545975607146108, 12.343798740289602]","{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 10.0, 'min_samples_split': 2.0, 'n_estimators': 60.0}"
"[11.101734544484518, 25.26890627930624, 11.279675505572422, 11.069665154635585, 12.861201398143306]","{'max_depth': 21.0, 'max_features': 'log2', 'min_samples_leaf': 5.0, 'min_samples_split': 3.0, 'n_estimators': 80.0}"
"[9.964413756005573, 24.58329722436557, 10.023084152027982, 9.962365505563268, 11.34949583789282]","{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 1.0, 'min_samples_split': 5.0, 'n_estimators': 70.0}"
"[9.939269507330179, 24.645948147172522, 10.040827363553962, 9.928618217322848, 11.477594829551045]","{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 2.0, 'min_samples_split': 5.0, 'n_estimators': 70.0}"
"[11.45607147866573, 25.42494328593804, 11.605568675073311, 11.452049525888706, 13.120160341185567]","{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 8.0, 'min_samples_split': 5.0, 'n_estimators': 90.0}"
"[9.927211128901003, 24.770422861041673, 10.034478718592975, 9.964176610228446, 11.688905647786086]","{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 2.0, 'min_samples_split': 2.0, 'n_estimators': 70.0}"
"[10.41198968954201, 24.951346422378894, 10.452587226203098, 10.300836294483458, 12.145601666214626]","{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 7.0, 'min_samples_split': 5.0, 'n_estimators': 80.0}"
"[11.1397435659067, 25.27705230327262, 11.29234599464985, 11.096681358668317, 12.857765488837616]","{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 6.0, 'min_samples_split': 3.0, 'n_estimators': 80.0}"
"[10.718211542478176, 25.104847940165016, 10.783237540950495, 10.625967000442717, 12.489012888295099]","{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 12.0, 'min_samples_split': 6.0, 'n_estimators': 90.0}"
"[10.561200078170994, 25.02401415741657, 10.630718507532467, 10.46334051590702, 12.339625039833576]","{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 9.0, 'min_samples_split': 4.0, 'n_estimators': 70.0}"
"[10.75445626621761, 25.146067505133136, 10.915660206987647, 10.680031710019211, 12.499493209155231]","{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4.0, 'min_samples_split': 3.0, 'n_estimators': 70.0}"
"[9.99764656955983, 24.73960624869179, 10.021197655193559, 9.931414972875984, 11.79860912262958]","{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 2.0, 'min_samples_split': 6.0, 'n_estimators': 100.0}"
"[12.311381702026738, 25.841645639703522, 12.529414656618782, 12.389387538333862, 13.942714487642586]","{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 16.0, 'min_samples_split': 7.0, 'n_estimators': 80.0}"
"[10.269944555654344, 24.8281498265994, 10.308434470160632, 10.171957964986746, 11.97962914109724]","{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 5.0, 'min_samples_split': 2.0, 'n_estimators': 70.0}"
"[10.159489711792554, 24.85765276000536, 10.20422113217343, 10.024150039065729, 11.938724989264895]","{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 4.0, 'min_samples_split': 5.0, 'n_estimators': 80.0}"
"[10.56361107266085, 25.02948634719591, 10.67745289636041, 10.493324315470911, 12.41437675833412]","{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3.0, 'min_samples_split': 8.0, 'n_estimators': 70.0}"
"[11.003845046939444, 25.22744257128672, 11.076502424456864, 10.941840483933557, 12.757279310945062]","{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 19.0, 'min_samples_split': 3.0, 'n_estimators': 70.0}"
"[10.022908328199696, 24.756640058844855, 10.07631660020578, 9.962637959209182, 11.774253182209364]","{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 3.0, 'min_samples_split': 4.0, 'n_estimators': 90.0}"
"[12.056870136208914, 25.705981691120574, 12.250537312980205, 12.060792018405618, 13.70270155252143]","{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 13.0, 'min_samples_split': 7.0, 'n_estimators': 70.0}"
"[10.495488314656173, 25.004465411134543, 10.547035539219848, 10.386271401806884, 12.227851272170824]","{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 8.0, 'min_samples_split': 2.0, 'n_estimators': 80.0}"
